nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.266101730014973496e-08,-4.392387963662267462e-07,-7.057531872151593885e-07,-8.953424729984871394e-07,-1.020191146325901280e-06,-1.091451271335539609e-06,-1.119197572490933411e-06,-1.112412490096857079e-06,-1.078997168173703440e-06,-1.025804216509140951e-06,-9.586880698768536424e-07,-8.825689557341007597e-07,-8.015066898750191162e-07,-7.187808361124529907e-07,-6.369742002815830877e-07,-5.580569349182453937e-07,-4.834690969383341295e-07,-4.141997704149123685e-07,-3.508614273002681983e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.903205714957591432e-07,-8.071874100887196523e-07,-1.116959511756483898e-06,-1.334696661918625831e-06,-1.474523398759076400e-06,-1.549504128031066724e-06,-1.571558971682967163e-06,-1.551416789305726911e-06,-1.498601235232561014e-06,-1.421445393384449915e-06,-1.327130382928770418e-06,-1.221743294272194479e-06,-1.110350020692914197e-06,-9.970787757403753348e-07,-8.852104368234172090e-07,-7.772723426191442351e-07,-6.751325067065240209e-07,-5.800918545323064774e-07,-4.929723811931501483e-07,-4.141997702829440530e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.527522530739661499e-07,-8.752638432133749394e-07,-1.354237370529983351e-06,-1.707311045523198579e-06,-1.951495125161578598e-06,-2.102940182113301755e-06,-2.176755097220784769e-06,-2.186872835052991659e-06,-2.145960959407451877e-06,-2.065373005733606308e-06,-1.955136169957314039e-06,-1.823970399421479900e-06,-1.679333793513252029e-06,-1.527489169726207487e-06,-1.373586875434231228e-06,-1.221759167440418485e-06,-1.075221868063689270e-06,-9.363795526214503790e-07,-8.069308877075530657e-07,-6.879714736216492146e-07,-5.800918546041394242e-07,-4.834690968356494899e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.035450762106803637e-08,-9.005843519306448289e-07,-1.605854714421633093e-06,-2.145535716652462708e-06,-2.538948666011264359e-06,-2.805007393795071991e-06,-2.961913270497619185e-06,-3.026905085113444713e-06,-3.016063230296910075e-06,-2.944166166275833733e-06,-2.824595895856956427e-06,-2.669288227706174514e-06,-2.488722856371649997e-06,-2.291947853345438961e-06,-2.086632951874771425e-06,-1.879145934037666612e-06,-1.674646673335506818e-06,-1.477193645015080940e-06,-1.289858142325856877e-06,-1.114842048553988942e-06,-9.535954097743478174e-07,-8.069308885138359990e-07,-6.751325074527065785e-07,-5.580569353286359272e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.941910165091395087e-07,-1.886391440412755054e-06,-2.669537848183112525e-06,-3.264051470640396024e-06,-3.690702324194563091e-06,-3.970167942546635763e-06,-4.122646704662689927e-06,-4.167529292615149494e-06,-4.123129767258331970e-06,-4.006475804673231520e-06,-3.833155988892007014e-06,-3.617220663650158731e-06,-3.371131761980844374e-06,-3.105756181613479867e-06,-2.830396771395519784e-06,-2.552854744189461255e-06,-2.279517230441091961e-06,-2.015463953269828714e-06,-1.764587282186297738e-06,-1.529720390914310869e-06,-1.312768929533374742e-06,-1.114842047257532807e-06,-9.363795525286739073e-07,-7.772723426494272512e-07,-6.369742000722641999e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.084121664702751690e-07,-2.243811202185120102e-06,-3.326530232055625306e-06,-4.176159342993124144e-06,-4.813711231565229263e-06,-5.261052050704120525e-06,-5.540375203517580621e-06,-5.673727190758427525e-06,-5.682592145853384223e-06,-5.587539159915582196e-06,-5.407934234436203987e-06,-5.161716534964782498e-06,-4.865236774894300151e-06,-4.533153997551653028e-06,-4.178385797256429619e-06,-3.812106055007390724e-06,-3.443783684150451329e-06,-3.081255588262147678e-06,-2.730826899849652003e-06,-2.397391859060717356e-06,-2.084568985193665145e-06,-1.794844707853182008e-06,-1.529720391084207679e-06,-1.289858140911092262e-06,-1.075221868067913211e-06,-8.852104369543264686e-07,-7.187808359394281942e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.065248451925002415e-06,-2.784314850738329867e-06,-4.212113528784032995e-06,-5.364793353277791865e-06,-6.261267078159364899e-06,-6.922553970805261630e-06,-7.371139168808892139e-06,-7.630365217065152253e-06,-7.723868773644442128e-06,-7.675072713433964643e-06,-7.506741155993990575e-06,-7.240602160969320760e-06,-6.897040331584899193e-06,-6.494859161984514699e-06,-6.051110903305910845e-06,-5.580989976881440770e-06,-5.097784575592810597e-06,-4.612880002047042944e-06,-4.135806624511262903e-06,-3.674324989469667945e-06,-3.234540457660915478e-06,-2.821040047405319532e-06,-2.437044479968347347e-06,-2.084568984996087510e-06,-1.764587282225432989e-06,-1.477193643194255083e-06,-1.221759167335754224e-06,-9.970787758078442619e-07,-8.015066895994573815e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.590730093885506531e-06,-3.703820074838150734e-06,-5.498514305234150049e-06,-6.984454386231547599e-06,-8.175520185172821579e-06,-9.089161203751425081e-06,-9.745702985264525695e-06,-1.016764984166302576e-05,-1.037900338071973072e-05,-1.040461391637361475e-05,-1.026957921182705142e-05,-9.998702021326121348e-06,-9.616014947970415191e-06,-9.144378079913680738e-06,-8.605152105922155039e-06,-8.017946943135754456e-06,-7.400443610669462573e-06,-6.768285131538677821e-06,-6.135030680498532289e-06,-5.512165961166962911e-06,-4.909162029878836231e-06,-4.333574386660222737e-06,-3.791173936616534653e-06,-3.286101771263706704e-06,-2.821040047590111204e-06,-2.397391858979771499e-06,-2.015463953443768624e-06,-1.674646671283958715e-06,-1.373586875396695599e-06,-1.110350020843508396e-06,-8.825689554671821491e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.781958562235904717e-08,-2.851040690800879293e-06,-5.323003282112818383e-06,-7.467678672385353633e-06,-9.285121279224493429e-06,-1.078100499090042767e-05,-1.196605622369474383e-05,-1.285540779444213837e-05,-1.346789834516681856e-05,-1.382534172036204151e-05,-1.395178950531038371e-05,-1.387280809997967007e-05,-1.361478918540697108e-05,-1.320430962910310088e-05,-1.266755365603130896e-05,-1.202980689960859162e-05,-1.131502859830707471e-05,-1.054550516125329553e-05,-9.741585369620899514e-06,-8.921494919461370310e-06,-8.101225834975290621e-06,-7.294494519493555425e-06,-6.512760819456334758e-06,-5.765299600852696124e-06,-5.059315879092068772e-06,-4.400094273609687855e-06,-3.791173937576665133e-06,-3.234540458674987981e-06,-2.730826900408467590e-06,-2.279517231181175987e-06,-1.879145932057035495e-06,-1.527489170032111319e-06,-1.221743294729363360e-06,-9.586880697872881668e-07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.352763484915633131e-06,-5.383032653729220548e-06,-8.119835969725195825e-06,-1.054442688180243137e-05,-1.264483287262463032e-05,-1.441568552528339330e-05,-1.585789199204047293e-05,-1.697816843786054830e-05,-1.778845916768573906e-05,-1.830526706044527954e-05,-1.854892184930151020e-05,-1.854281263441171353e-05,-1.831260990042502814e-05,-1.788550045668500324e-05,-1.728945608302789137e-05,-1.655255367123124158e-05,-1.570236118264079547e-05,-1.476540024787086068e-05,-1.376669256767270052e-05,-1.272939392699142055e-05,-1.167451636160575153e-05,-1.062073616794293849e-05,-9.584283021741029320e-06,-8.578903491652317221e-06,-7.615890666716414563e-06,-6.704170618228261876e-06,-5.850435889745954797e-06,-5.059315878448584618e-06,-4.333574387268093391e-06,-3.674324990232846325e-06,-3.081255588570082695e-06,-2.552854744779082584e-06,-2.086632949339801291e-06,-1.679333793703108535e-06,-1.327130383336845057e-06,-1.025804216315324142e-06
