nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.210778815963870040e-05,-2.782588797202414281e-05,-4.186340474715617602e-05,-5.429681935844328630e-05,-6.520537303353763628e-05,-7.467039986002253608e-05,-8.277468140708416338e-05,-8.960183060191520749e-05,-9.523570725719743388e-05,-9.975986964988436381e-05,-1.032570642898337013e-04,-1.058087575392154531e-04,-1.074947085338665448e-04,-1.083925875376718772e-04,-1.085776365240746061e-04,-1.081223751769493552e-04,-1.070963501012296563e-04,-1.055659271182624341e-04,-1.035941236577911714e-04,-1.012404821528984576e-04,-9.856098150569866131e-05,-9.560798128458114714e-05,-9.243020216937608297e-05,-8.907273491440230039e-05,-8.557707723583210719e-05,-8.198119617872228772e-05,-7.831961269747281500e-05,-7.462350466007531906e-05,-7.092082767479879332e-05,-6.723644966353598462e-05,-6.359229637624701399e-05,-6.000750640123872183e-05,-5.649859339831797084e-05,-5.307961130438598816e-05,-4.976232352082605044e-05,-4.655637387564961636e-05,-4.346945321257149607e-05,-4.050746744599901953e-05,-3.767470005643769717e-05,-3.497397025529583753e-05,-3.240678368342881434e-05,-2.997348200422557396e-05,-2.767337849081224333e-05,-2.550489036389186581e-05,-2.346566384379985648e-05,-2.155268559921092760e-05,-1.976239263527084509e-05,-1.809077038606730144e-05,-1.653344143841291557e-05,-1.508574869242007441e-05,-1.374282970029415814e-05,-1.249968340991358369e-05,-1.135122893274340204e-05,-1.029235589276316525e-05,-9.317974545268071390e-06,-8.423051610869573651e-06,-7.602646361974339242e-06,-6.851935075284583442e-06,-6.166239688840154522e-06,-5.541046277026789982e-06,-4.972012413526643611e-06,-4.454991453556865646e-06,-3.986026084629745069e-06,-3.561367762564879557e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.584508369892839139e-05,-3.064140131098320378e-05,-4.383197298817372186e-05,-5.549143377018226351e-05,-6.569687183872849237e-05,-7.452719906655398501e-05,-8.206254343091988045e-05,-8.838366992196062188e-05,-9.357143210728680331e-05,-9.770625840917032581e-05,-1.008676750132891150e-04,-1.031338687750379024e-04,-1.045812895213402724e-04,-1.052842955572203708e-04,-1.053148392877544361e-04,-1.047421958854281388e-04,-1.036327328569371770e-04,-1.020497203329675346e-04,-1.000531792061939778e-04,-9.769976791970003832e-05,-9.504270509598800054e-05,-9.213172294164319797e-05,-8.901305468942804491e-05,-8.572944877737869460e-05,-8.232020916545680330e-05,-7.882125947039603881e-05,-7.526522781727642858e-05,-7.168154882196528434e-05,-6.809658212641938138e-05,-6.453374363333690177e-05,-6.101364679697658037e-05,-5.755425259677574929e-05,-5.417102605745224381e-05,-5.087709531107430759e-05,-4.768341415314906919e-05,-4.459892600769163715e-05,-4.163072354929545608e-05,-3.878420944422431336e-05,-3.606325163856016498e-05,-3.347033433959109740e-05,-3.100670176595741182e-05,-2.867250062909747568e-05,-2.646690926840061775e-05,-2.438826352424332478e-05,-2.243417558098340970e-05,-2.060163987351626186e-05,-1.888713734024022480e-05,-1.728672845577006688e-05,-1.579613732850553058e-05,-1.441083042994259722e-05,-1.312608692239873842e-05,-1.193706174709805324e-05,-1.083884111866012810e-05,-9.826490039547498205e-06,-8.895099482381739323e-06,-8.039820125532598787e-06,-7.255896241843768144e-06,-6.538688618146321313e-06,-5.883701366327701135e-06,-5.286599131956899733e-06,-4.743213868515221848e-06,-4.249567401433976222e-06,-3.801865203486095326e-06,-3.396514365009853452e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.973042018617898327e-06,-1.946667591245599614e-05,-3.335867767807590873e-05,-4.571898954264062295e-05,-5.662032716245479134e-05,-6.613756819569979414e-05,-7.434715976515261662e-05,-8.132654749456566154e-05,-8.715363226271392904e-05,-9.190625661152610642e-05,-9.566172453632209715e-05,-9.849635636785753282e-05,-1.004850818311740231e-04,-1.017010706297097436e-04,-1.022154040580163848e-04,-1.020967846666456032e-04,-1.014112866612261509e-04,-1.002221449526732947e-04,-9.858958263556564887e-05,-9.657067413085402283e-05,-9.421924469867156338e-05,-9.158580363115420152e-05,-8.871750632503452307e-05,-8.565814825629895985e-05,-8.244818396904069239e-05,-7.912477047719503487e-05,-7.572183288170808901e-05,-7.227014926240032944e-05,-6.879745145574572406e-05,-6.532854116541997997e-05,-6.188541776716251957e-05,-5.848741532161377458e-05,-5.515134749304227647e-05,-5.189165836980456437e-05,-4.872057541852996423e-05,-4.564826547118079863e-05,-4.268299177831331315e-05,-3.983126675402890544e-05,-3.709800551814598812e-05,-3.448667409556356345e-05,-3.199943334173910265e-05,-2.963727587092005556e-05,-2.740016157210696648e-05,-2.528714041745511935e-05,-2.329647200883747392e-05,-2.142573834976157219e-05,-1.967194432685158716e-05,-1.803161646212815447e-05,-1.650089100386592468e-05,-1.507559350582180722e-05,-1.375131323546185128e-05,-1.252346959085518272e-05,-1.138737162610759754e-05,-1.033827035675459732e-05,-9.371403510895065639e-06,-8.482039861459518684e-06,-7.665510915106254797e-06,-6.917242668151213814e-06,-6.232777032189158945e-06,-5.607796859541868632e-06,-5.038141923962367305e-06,-4.519815115094973779e-06,-4.049003355428519157e-06,-3.622071577530168229e-06,-3.235579295182036647e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.425352067083333348e-06,-2.295921350537049612e-05,-3.596624952741847011e-05,-4.751472511432628933e-05,-5.767536811544089309e-05,-6.652079361943325224e-05,-7.412494714914059533e-05,-8.056256910105906248e-05,-8.590868610950119528e-05,-9.023813105733226260e-05,-9.362509514883832434e-05,-9.614271355576935109e-05,-9.786268745462248990e-05,-9.885494175818619091e-05,-9.918732175465590228e-05,-9.892532578756952136e-05,-9.813187642461644665e-05,-9.686712809455688613e-05,-9.518831092762739226e-05,-9.314960814416309190e-05,-9.080206760819786466e-05,-8.819354497301161086e-05,-8.536867387357087661e-05,-8.236886596323367813e-05,-7.923233430253985013e-05,-7.599413950055083173e-05,-7.268625652968299568e-05,-6.933765942974427971e-05,-6.597442070268227455e-05,-6.261982487093878391e-05,-5.929449276865596984e-05,-5.601651423057787206e-05,-5.280158794694444466e-05,-4.966316660773071971e-05,-4.661260379529579852e-05,-4.365930347573266545e-05,-4.081087023681708700e-05,-3.807325525740518497e-05,-3.545090277704871531e-05,-3.294689133652810422e-05,-3.056307078617876989e-05,-2.830019252985817567e-05,-2.615803823195201716e-05,-2.413553643489167012e-05,-2.223087592732358233e-05,-2.044161259214859417e-05,-1.876476458919580827e-05,-1.719690574934542855e-05,-1.573424884923575523e-05,-1.437272078742166885e-05,-1.310803278826457290e-05,-1.193574301435085830e-05,-1.085131262773650525e-05,-9.850154995674822311e-06,-8.927677754418784597e-06,-8.079324381543156612e-06,-7.300603893902066021e-06,-6.587120538747199704e-06,-5.934593767698340388e-06,-5.338881539020392196e-06,-4.795995110971645637e-06,-4.302104667934893086e-06,-3.853558661766484043e-06,-3.446877970622057086e-06,-3.078771137428895849e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.271440084110910521e-05,-2.631054653309008963e-05,-3.845369012473651816e-05,-4.921033873687570537e-05,-5.864916953995165817e-05,-6.684048874776425556e-05,-7.385570931942549221e-05,-7.976684954026323218e-05,-8.464605772018739672e-05,-8.856516452780242323e-05,-9.159526607934726894e-05,-9.380633910571233090e-05,-9.526689076281742176e-05,-9.604364234721604187e-05,-9.620124985597759194e-05,-9.580205863080824532e-05,-9.490589431431892991e-05,-9.356988815947096133e-05,-9.184833639064936381e-05,-8.979259106733583303e-05,-8.745098298529039899e-05,-8.486877415654118747e-05,-8.208813556887762058e-05,-7.914815281129845435e-05,-7.608485345228944291e-05,-7.293125557644243898e-05,-6.971743551512495042e-05,-6.647061213887331464e-05,-6.321524469643443082e-05,-5.997314370027757169e-05,-5.676359162805086296e-05,-5.360347125025324491e-05,-5.050740042164188497e-05,-4.748787158245746667e-05,-4.455539264618034277e-05,-4.171863007894481177e-05,-3.898455242916647624e-05,-3.635856963379872133e-05,-3.384467255219802539e-05,-3.144556738825798756e-05,-2.916280593054329268e-05,-2.699690925972590602e-05,-2.494748981241720555e-05,-2.301336195314561525e-05,-2.119264932086558587e-05,-1.948288590846259727e-05,-1.788110608105154971e-05,-1.638393276150779847e-05,-1.498765602158449859e-05,-1.368830397676823083e-05,-1.248170890829634802e-05,-1.136356618277952640e-05,-1.032948695260030840e-05,-9.375044355831769506e-06,-8.495812972892035047e-06,-7.687407732101536346e-06,-6.945511675997316850e-06,-6.265903658183558756e-06,-5.644476910649584708e-06,-5.077260687040234787e-06,-4.560433911005450948e-06,-4.090330247699575274e-06,-3.663455941079940325e-06,-3.276484136481220530e-06,-2.926268852343246049e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.702832105343412226e-06,-1.682757194018073555e-05,-2.950975604859381218e-05,-4.081164291433829597e-05,-5.079790700674755537e-05,-5.953511788221447945e-05,-6.709123258855664873e-05,-7.353510661404472049e-05,-7.893602531467311888e-05,-8.336326063921131214e-05,-8.688565447785941880e-05,-8.957123147318062962e-05,-9.148684243978915005e-05,-9.269784071944781826e-05,-9.326779069674046366e-05,-9.325821115572175345e-05,-9.272835082149991288e-05,-9.173499810806974510e-05,-9.033232317481373474e-05,-8.857175195779379154e-05,-8.650186973075391886e-05,-8.416835465576157061e-05,-8.161393897634900514e-05,-7.887839379026108681e-05,-7.599853979076896760e-05,-7.300827822610846921e-05,-6.993864149052407813e-05,-6.681786149366655922e-05,-6.367145332332596066e-05,-6.052231136292575897e-05,-5.739081739113195034e-05,-5.429495762573296910e-05,-5.125044666167136631e-05,-4.827085720857224229e-05,-4.536775399170371587e-05,-4.255082870135083842e-05,-3.982803675393735578e-05,-3.720573423008473812e-05,-3.468881064016192080e-05,-3.228082166872364353e-05,-2.998411692816998955e-05,-2.779996358881076920e-05,-2.572866370653336489e-05,-2.376966981740893790e-05,-2.192168961788681854e-05,-2.018278745396212803e-05,-1.855047979458198434e-05,-1.702182022717043660e-05,-1.559348259018537446e-05,-1.426183501913506582e-05,-1.302300668751832390e-05,-1.187294997431875341e-05,-1.080749580706095843e-05,-9.822403108866221652e-06,-8.913402090183750913e-06,-8.076231182081685842e-06,-7.306673370734904872e-06,-6.600582094444630901e-06,-5.953907018872110752e-06,-5.362711245075958049e-06,-4.823191359283729288e-06,-4.331689980090569036e-06,-3.884700291040734391e-06,-3.478882445228935651e-06,-3.111058036046613476e-06,-2.778222867373008722e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.590676718220651712e-06,-2.075366712661817862e-05,-3.254717312410894642e-05,-4.303184109166054117e-05,-5.227044433270146403e-05,-6.032739413157162469e-05,-6.726826432783801295e-05,-7.315933422535811890e-05,-7.806715154577375626e-05,-8.205811984943901371e-05,-8.519811156852192440e-05,-8.755210922657590878e-05,-8.918387582539589380e-05,-9.015565650125947612e-05,-9.052791064359485597e-05,-9.035907691321338098e-05,-8.970536860555621645e-05,-8.862060118694008940e-05,-8.715605016725480776e-05,-8.536033894736765959e-05,-8.327935429782874614e-05,-8.095618986040116591e-05,-7.843111543403679525e-05,-7.574156820958806977e-05,-7.292216815758150502e-05,-7.000475216521729292e-05,-6.701842634663283092e-05,-6.398963478041722226e-05,-6.094224233186995728e-05,-5.789762889099362792e-05,-5.487479458146287206e-05,-5.189047308780870058e-05,-4.895925118446153954e-05,-4.609369343821377905e-05,-4.330447056094560736e-05,-4.060048849655707926e-05,-3.798901896671460398e-05,-3.547582994313587843e-05,-3.306531200407236790e-05,-3.076060444424865109e-05,-2.856371651849851594e-05,-2.647564462803685603e-05,-2.449648343311537472e-05,-2.262553515945704691e-05,-2.086140854779746251e-05,-1.920211465657479247e-05,-1.764515689774995099e-05,-1.618761115735398561e-05,-1.482620403578898657e-05,-1.355738249226086202e-05,-1.237737656396053882e-05,-1.128225771046458283e-05,-1.026799070025442279e-05,-9.330479915394056619e-06,-8.465609835822148063e-06,-7.669279536080596753e-06,-6.937436546397099282e-06,-6.266100945338189300e-06,-5.651389287745076020e-06,-5.089530502862604842e-06,-4.576884417106700609e-06,-4.109953245156509823e-06,-3.685385601113389838e-06,-3.299991541299602624e-06,-2.950737169721319724e-06,-2.634756271024331063e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.225374328648957381e-05,-2.448291408182954974e-05,-3.541438777020258191e-05,-4.510711784642664141e-05,-5.362191460900353024e-05,-6.102098698118038666e-05,-6.736749799328316040e-05,-7.272513834545417128e-05,-7.715771954998508616e-05,-8.072879070197079413e-05,-8.350127985342599500e-05,-8.553716231671050561e-05,-8.689715672352198259e-05,-8.764045073094069735e-05,-8.782445554008699374e-05,-8.750459143636693017e-05,-8.673410189594198789e-05,-8.556389790598453043e-05,-8.404243072290846367e-05,-8.221559268324893962e-05,-8.012664382320838091e-05,-7.781616463625963727e-05,-7.532203283635571312e-05,-7.267942050912240949e-05,-6.992081368300806499e-05,-6.707604924740485290e-05,-6.417236865460691764e-05,-6.123448676297469826e-05,-5.828467361639837180e-05,-5.534284665368756069e-05,-5.242667293114037201e-05,-4.955167868300355512e-05,-4.673136443137403849e-05,-4.397732468152633692e-05,-4.129937078743035341e-05,-3.870565426116413576e-05,-3.620279121488175595e-05,-3.379598650144194762e-05,-3.148915380186121017e-05,-2.928503526339704214e-05,-2.718531639919375569e-05,-2.519073700420734524e-05,-2.330119622459309888e-05,-2.151585576310398161e-05,-1.983323326547056998e-05,-1.825129261301851048e-05,-1.676752869450689256e-05,-1.537904280474687162e-05,-1.408261615754552280e-05,-1.287477527623141581e-05,-1.175185082718022798e-05,-1.071003227585506476e-05,-9.745416439894099951e-06,-8.854050765164560375e-06,-8.031971105873583229e-06,-7.275233873988677798e-06,-6.579947526025606779e-06,-5.942294918382726160e-06,-5.358555463546451177e-06,-4.825119769321686814e-06,-4.338506701735516513e-06,-3.895373865981488804e-06,-3.492521115200065434e-06,-3.126904301669779351e-06,-2.795630005504449908e-06,-2.495966093588741305e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.075317528018470214e-06,-1.668236734999905310e-05,-2.800696377246222332e-05,-3.810424820649723198e-05,-4.703140768187192157e-05,-5.484723466833261606e-05,-6.161169844824953027e-05,-6.738553023079258764e-05,-7.222982604993432221e-05,-7.620566874844229019e-05,-7.937377274427363989e-05,-8.179415239643849625e-05,-8.352581606345773268e-05,-8.462648653716755502e-05,-8.515234954646512392e-05,-8.515782947374139972e-05,-8.469539427958203430e-05,-8.381538727740888231e-05,-8.256588723773496141e-05,-8.099259510668620600e-05,-7.913874693398845607e-05,-7.704505086362023274e-05,-7.474964846035298579e-05,-7.228809834279812112e-05,-6.969337871447046722e-05,-6.699591066419680703e-05,-6.422359747832934239e-05,-6.140187941642161890e-05,-5.855380240722765108e-05,-5.570009859271581791e-05,-5.285927636946943401e-05,-5.004771953864819089e-05,-4.727979305910383307e-05,-4.456795373726712902e-05,-4.192286495226362424e-05,-3.935351410394150702e-05,-3.686733023820707160e-05,-3.447030250489445906e-05,-3.216709810846827476e-05,-2.996117627409158933e-05,-2.785490158333782748e-05,-2.584965270254282761e-05,-2.394592720804003094e-05,-2.214344079003694544e-05,-2.044122454920243670e-05,-1.883771299276413614e-05,-1.733082899802981439e-05,-1.591806349799396113e-05,-1.459654631542063350e-05,-1.336311511662774480e-05,-1.221437669910763901e-05,-1.114676207865593599e-05,-1.015657759434577083e-05,-9.240050253670985318e-06,-8.393368095874824907e-06,-7.612715373056288458e-06,-6.894302443448702014e-06,-6.234394983971465568e-06,-5.629334676972085972e-06,-5.075559671114504540e-06,-4.569618014010382680e-06,-4.108183322720912459e-06,-3.688064301154452530e-06,-3.306207766835579586e-06,-2.959711179759402108e-06,-2.645817484663259451e-06,-2.361924657906977650e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.206044263346493841e-06,-2.086846577764844948e-05,-3.131887808041280426e-05,-4.061085108355431186e-05,-4.879973935380608867e-05,-5.594227000186855397e-05,-6.209614238522990495e-05,-6.731964157038596648e-05,-7.167126924251147684e-05,-7.520939318113300110e-05,-7.799191866750119400e-05,-8.007598249412009974e-05,-8.151767145231143439e-05,-8.237176584797663065e-05,-8.269150955672272885e-05,-8.252840574292358679e-05,-8.193204003929079927e-05,-8.094992892364425048e-05,-7.962739461679611028e-05,-7.800746484639550717e-05,-7.613079705637527874e-05,-7.403562501014458307e-05,-7.175772801023680891e-05,-6.933042080521618173e-05,-6.678456097569336386e-05,-6.414857552126710066e-05,-6.144850219126173194e-05,-5.870804502739052891e-05,-5.594864267078507921e-05,-5.318954748861985096e-05,-5.044791331860874360e-05,-4.773889147019407409e-05,-4.507573263935310662e-05,-4.246989318690890468e-05,-3.993114493918965244e-05,-3.746768729664595927e-05,-3.508625927659647203e-05,-3.279225211416435064e-05,-3.058982117169614038e-05,-2.848199393791250492e-05,-2.647077723672940623e-05,-2.455725996278038982e-05,-2.274171200090697472e-05,-2.102367774735021747e-05,-1.940206769389086916e-05,-1.787524121098858207e-05,-1.644108636682640082e-05,-1.509709470767535145e-05,-1.384042768830496758e-05,-1.266798123726423797e-05,-1.157644309512560564e-05,-1.056234429687658363e-05,-9.622106864972302423e-06,-8.752086073742324651e-06,-7.948608017421064501e-06,-7.208002298781878255e-06,-6.526629758834932301e-06,-5.900909515677467551e-06,-5.327338052625326498e-06,-4.802508060662313046e-06,-4.323120717727100529e-06,-3.886000034290429446e-06,-3.488101454191870843e-06,-3.126514420868053607e-06,-2.798473752010310981e-06,-2.501354587422749913e-06,-2.232680984412738272e-06
